slope_Outdoor view,r_value_Outdoor view,p_value_Outdoor view,std_err_Outdoor view,timestamp_Outdoor view,slope_Indoor w/ window view,r_value_Indoor w/ window view,p_value_Indoor w/ window view,std_err_Indoor w/ window view,timestamp_Indoor w/ window view,slope_Indoor w/o window view,r_value_Indoor w/o window view,p_value_Indoor w/o window view,std_err_Indoor w/o window view,timestamp_Indoor w/o window view
-1.2885938158099666,-0.9584360755482569,8.545761700496806e-28,0.055366267350644253,20230208T1400,-1.1981032997294878,-0.9894500825026296,6.18085258893255e-42,0.02532041453934421,20230803T1330,-1.4153433069554868,-0.9679499680321653,1.857130269650854e-30,0.053004107608741274,20230626T0830
-1.0175179185510566,-0.9888191103464584,2.4743605226519757e-41,0.022148301096269193,20230622T1800,-1.2533900475767945,-0.9909280316698269,1.6789045209845133e-43,0.02453590337001445,20230614T1800,-1.3277825045753568,-0.9890866508309962,1.3877552037696459e-41,0.028548142729785397,20230616T1230
-1.5594263994619648,-0.9849417949226187,3.0052698604950234e-38,0.03950883180488241,20240322T0930,-1.591935981003328,-0.9948025924091485,2.7397479069384455e-49,0.02351859762516828,20231022T1230,-1.3945402942502227,-0.9886051759754095,3.8902913456897505e-41,0.030648954386424936,20231122T1600
-1.5096551352917145,-0.9854826533671341,1.2566996495167996e-38,0.03753918310866308,20240315T1700,-1.5326398638234735,-0.9830034106452887,5.378312114199261e-37,0.04131493705680875,20230619T1100,-1.5485837868764945,-0.9812543538209455,5.534994889109963e-36,0.04389881704822325,20230613T1630
-1.00832599024172,-0.9833522473606096,3.2823405813141875e-37,0.026893601270676897,20230302T1700,-1.1682902858101936,-0.9854324571875592,1.3644780272339675e-38,0.02910207761169121,20230310T1100,-1.211136286123316,-0.9864842688687553,2.2851796162676036e-39,0.029036520320589235,20231120T1630
-1.4658720898124062,-0.9736630525438967,1.7794947701902705e-32,0.04954342096656327,20230421T1830,-1.2442016326037797,-0.9845236180407332,5.77263080374971e-38,0.03196736684809423,20230322T1130,-1.4089369060670496,-0.9871116987746894,7.353504100859609e-40,0.03296959457252065,20230612T1100
-0.9619395545416473,-0.9856681818276449,9.248345401659254e-39,0.02376295306489455,20240320T1300,-1.5408993449610253,-0.9918579423438727,1.2655693446702558e-44,0.028556201914243268,20231121T1230,-1.3619234867006844,-0.944462410227701,7.657823534379885e-25,0.06839757483283952,20230626T1230
-1.368980433701166,-0.9813179648869587,5.104995015785543e-36,0.038739682182025226,20230802T1700,-1.3581497891293968,-0.9822396981306034,1.5313698042890783e-36,0.03744663741682501,20230322T1800,-1.409244178413814,-0.9907325424279814,2.79449058959783e-43,0.027886625440113826,20230621T1600
-1.384668969353585,-0.9925656439737776,1.438506224197865e-45,0.024507222791027038,20230623T1600,-0.9982796640462455,-0.9420234239278245,2.0896288984150974e-24,0.05132434520497502,20240111T1000,-1.3861214656555554,-0.9901729535856628,1.1342410212003457e-42,0.028257030770359404,20230621T1330
-1.5321325301819453,-0.9825171020271535,1.052773582947185e-36,0.04190354631802029,20240322T1330,-1.3385083101866282,-0.9911875741196491,8.38939069018116e-44,0.02581953577638276,20231115T1100,-0.9211667232603763,-0.9333252059895193,5.421838545357222e-23,0.05114673616813954,20230626T1700
